Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3482;0.1;100;3650;167900;BrazilNutTree;1;0.0003;Juvenile;11108;30;6;b564e7eb-0ad5-4412-bb15-80521a5f9546
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4448;0.1;100;3650;154395;BrazilNutTree;1;0.0003;Juvenile;5146;12;4;be53a36d-d6f9-4cdb-b746-a42e4c591a19
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4582;0.1;100;3650;119355;BrazilNutTree;1;0.0003;Juvenile;9809;66;5;ff2558f3-93fe-4aab-9a08-8cfebf253281
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;717;0.5;100;1825;7665;PalmTree;0.6;0.0001;Juvenile;711;19;3;ce9c289e-d92e-4043-9ba3-f50f33eaafbb
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;6651;1;100;2920;10950;NutmegTree;1.3;0.0002;Juvenile;5280;107;7;0923e382-e700-4d0c-a115-f5659d703c1a
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4194;1;100;2920;18980;NutmegTree;1.3;0.0002;Juvenile;2656;24;10;7926076a-fe55-427e-955d-d586bea43c04
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;2536;1;100;2920;12775;NutmegTree;1.3;0.0002;Juvenile;8873;9;7;27a72169-e0d7-49ca-8979-bbaea055cc06
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;518;0.5;100;1825;8395;PalmTree;0.6;0.0001;Juvenile;635;39;1;1370556f-30aa-4b76-905f-78525e759933
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;442;0.5;100;1825;10585;PalmTree;0.6;0.0001;Juvenile;877;90;2;f823d4e7-485e-45af-b0cc-952e8c5ac3ab
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;731;0.5;100;1825;6935;PalmTree;0.6;0.0001;Juvenile;1;69;1;8a8f9dc6-40d1-44fe-b591-e8446ca5b91a
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;648;0.5;100;1825;5840;PalmTree;0.6;0.0001;Juvenile;812;40;2;338791cc-738c-4c18-abec-ace4bad850fa
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;6613;1;100;2920;20805;NutmegTree;1.3;0.0002;Juvenile;7225;95;8;b653ea45-4f5e-4676-a2b6-78b549713952
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1641;0.1;100;3650;153665;BrazilNutTree;1;0.0003;Juvenile;18685;45;4;896c3f20-6cf8-4724-ac6d-96d5894aefb1
